artist,album_name,album_uri,track,trackuri,release_date,id,song_uri,track_href,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Of Monsters and Men,My Head Is An Animal,spotify:album:6uD3oJCWT1gtlSCg5lDiNF,Little Talks,spotify:track:3a2tuvXCHbW5nuUckuHkKT,1/1/2012,6ZSO7kPn8IMJFymyticbJO,spotify:track:6ZSO7kPn8IMJFymyticbJO,https://api.spotify.com/v1/tracks/6ZSO7kPn8IMJFymyticbJO,https://api.spotify.com/v1/audio-analysis/6ZSO7kPn8IMJFymyticbJO,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,225882,5
Kiiara,low kii savage,spotify:album:2EvTMiJyF3H4BoxNCL4HLh,Gold,spotify:track:6ZSO7kPn8IMJFymyticbJO,3/22/2016,4VginDwYTP2eaHJzO0QMjG,spotify:track:4VginDwYTP2eaHJzO0QMjG,https://api.spotify.com/v1/tracks/4VginDwYTP2eaHJzO0QMjG,https://api.spotify.com/v1/audio-analysis/4VginDwYTP2eaHJzO0QMjG,0.704,0.758,0,-3.537,1,0.0402,0.233,0.00144,0.0924,0.534,120.003,214907,4
Post Malone,Circles,spotify:album:75n7rjlC1fxezRtoMQmtL5,Circles,spotify:track:4VginDwYTP2eaHJzO0QMjG,8/30/2019,7lJUnNQC5IX4f2OwH23cBF,spotify:track:7lJUnNQC5IX4f2OwH23cBF,https://api.spotify.com/v1/tracks/7lJUnNQC5IX4f2OwH23cBF,https://api.spotify.com/v1/audio-analysis/7lJUnNQC5IX4f2OwH23cBF,0.67,0.683,5,-5.509,1,0.0377,0.29,0,0.724,0.29,124.9,254093,4
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),spotify:album:39h0PMiDnWXboQBCwvn60E,Let Me Love You (Until You Learn To Love Yourself),spotify:track:7lJUnNQC5IX4f2OwH23cBF,1/1/2012,3ibKnFDaa3GhpPGlOUj7ff,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/tracks/3ibKnFDaa3GhpPGlOUj7ff,https://api.spotify.com/v1/audio-analysis/3ibKnFDaa3GhpPGlOUj7ff,0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,256733,4
Mario,Let Me Love You,spotify:album:7EXstuWka51pNFzEAidEol,Let Me Love You,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,9/21/2004,1AWQoqb9bSvzTjaLralEkT,spotify:track:1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,0.892,0.714,4,-6.055,0,0.141,0.201,0.000234,0.0521,0.817,100.972,267267,4
Justin Timberlake,Justified,spotify:album:6QPkyl04rXwTGlGlcYaRoW,Rock Your Body,spotify:track:1AWQoqb9bSvzTjaLralEkT,11/4/2002,1hGy2eLcmC8eKx7qr1tOqx,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,225373,4
Sean Kingston,Beautiful Girls,spotify:album:71clfVkkopYLrgweVj2cow,Beautiful Girls,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,7/23/2007,4x4RbsTuuqrmRoDFMyrhnA,spotify:track:4x4RbsTuuqrmRoDFMyrhnA,https://api.spotify.com/v1/tracks/4x4RbsTuuqrmRoDFMyrhnA,https://api.spotify.com/v1/audio-analysis/4x4RbsTuuqrmRoDFMyrhnA,0.6,0.84,1,-5.774,1,0.11,0.000221,2.6e-06,0.18,0.654,129.985,229053,4
Chris Brown,Turn Up The Music,spotify:album:1CHDxSNYQHlklDXX7GAmqo,Turn Up the Music,spotify:track:4x4RbsTuuqrmRoDFMyrhnA,3/23/2012,0Q0IVlqMV64kNLlwjPj0Hl,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,https://api.spotify.com/v1/tracks/0Q0IVlqMV64kNLlwjPj0Hl,https://api.spotify.com/v1/audio-analysis/0Q0IVlqMV64kNLlwjPj0Hl,0.765,0.289,4,-17.125,0,0.147,0.0268,1.77e-06,0.562,0.501,92.413,298667,4
Fugees,The Score (Expanded Edition),spotify:album:18XFe4CPBgVezXkxZP6rTb,Killing Me Softly With His Song,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,2/13/1996,1fBl642IhJOE5U319Gy2Go,spotify:track:1fBl642IhJOE5U319Gy2Go,https://api.spotify.com/v1/tracks/1fBl642IhJOE5U319Gy2Go,https://api.spotify.com/v1/audio-analysis/1fBl642IhJOE5U319Gy2Go,0.482,0.833,5,-5.611,1,0.0449,0.000346,0,0.365,0.74,148.039,212293,4
Neon Trees,Habits,spotify:album:7xpjpdislqMXOCw5xsDt4g,Animal,spotify:track:1fBl642IhJOE5U319Gy2Go,1/1/2010,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4
Camila Cabello,Camila,spotify:album:2vD3zSQr8hNlg0obNel4TE,Havana (feat. Young Thug),spotify:track:1rfofaqEpACxVEHIZBJe6W,1/12/2018,1Je1IMUlBXcx1Fz0WE7oPT,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,https://api.spotify.com/v1/audio-analysis/1Je1IMUlBXcx1Fz0WE7oPT,0.768,0.864,11,-6.149,1,0.0324,0.101,0,0.162,0.891,110.009,173027,4
Spice Girls,Spice,spotify:album:3x2jF7blR6bFHtk4MccsyJ,Wannabe,spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,1/1/1996,1Jo0Zg7XlrA6z0mFTZVdkn,spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn,https://api.spotify.com/v1/tracks/1Jo0Zg7XlrA6z0mFTZVdkn,https://api.spotify.com/v1/audio-analysis/1Jo0Zg7XlrA6z0mFTZVdkn,0.834,0.669,6,-5.582,0,0.0637,0.0341,7.18e-05,0.0535,0.547,122.669,267080,4
Rihanna,Good Girl Gone Bad,spotify:album:4OXnPSBtZo8PBFiTOfuumP,Don't Stop The Music,spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn,1/1/2007,1lguQJjlNrIOoOylYVZN3M,spotify:track:1lguQJjlNrIOoOylYVZN3M,https://api.spotify.com/v1/tracks/1lguQJjlNrIOoOylYVZN3M,https://api.spotify.com/v1/audio-analysis/1lguQJjlNrIOoOylYVZN3M,0.423,0.797,0,-4.659,1,0.124,0.177,0,0.137,0.592,82.617,297760,4
Twenty One Pilots,Blurryface,spotify:album:3cQO7jp5S9qLBoIVtbkSM1,The Judge,spotify:track:1lguQJjlNrIOoOylYVZN3M,5/15/2015,6LoQHIo74tOzQ8EsLEkhgF,spotify:track:6LoQHIo74tOzQ8EsLEkhgF,https://api.spotify.com/v1/tracks/6LoQHIo74tOzQ8EsLEkhgF,https://api.spotify.com/v1/audio-analysis/6LoQHIo74tOzQ8EsLEkhgF,0.545,0.787,7,-4.095,0,0.0521,0.00999,0.000201,0.0809,0.574,80.158,231987,4
